crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	3.426831	413080	432620634112.000000
281474976710655.000000	3.033036	413081	432621715456.000000
281474976710655.000000	3.362603	413082	432622731264.000000
281474976710655.000000	2.930059	413083	432623779840.000000
281474976710655.000000	2.849973	413084	432624795648.000000
281474976710655.000000	3.875709	413085	432625876992.000000
281474976710655.000000	4.081742	413086	432626892800.000000
281474976710655.000000	2.938357	413087	432627974144.000000
281474976710655.000000	3.336998	413088	432628989952.000000
281474976710655.000000	3.587137	413089	432630071296.000000
281474976710655.000000	3.752592	413090	432631087104.000000
281474976710655.000000	3.272114	413091	432632168448.000000
281474976710655.000000	4.233605	413092	432633184256.000000
281474976710655.000000	2.941459	413093	432634232832.000000
281474976710655.000000	3.329212	413094	432635281408.000000
281474976710655.000000	3.321467	413095	432636329984.000000
281474976710655.000000	3.284889	413096	432637345792.000000
281474976710655.000000	3.524120	413097	432638427136.000000
281474976710655.000000	3.076549	413098	432639442944.000000
281474976710655.000000	4.319572	413099	432640524288.000000
281474976710655.000000	4.558558	413100	432641540096.000000
281474976710655.000000	3.131919	413101	432642621440.000000
281474976710655.000000	3.793881	413102	432643637248.000000
281474976710655.000000	3.485567	413103	432644718592.000000
281474976710655.000000	3.772724	413104	432645734400.000000
281474976710655.000000	3.231077	413105	432646782976.000000
281474976710655.000000	3.107001	413106	432647798784.000000
281474976710655.000000	4.324053	413107	432648880128.000000
281474976710655.000000	4.593835	413108	432649895936.000000
281474976710655.000000	3.355832	413109	432650977280.000000
281474976710655.000000	4.354830	413110	432651993088.000000
281474976710655.000000	3.176362	413111	432653074432.000000
281474976710655.000000	3.616246	413112	432654090240.000000
281474976710655.000000	4.037254	413113	432655171584.000000
281474976710655.000000	3.874209	413114	432656187392.000000
281474976710655.000000	3.618333	413115	432657268736.000000
281474976710655.000000	4.328069	413116	432658284544.000000
281474976710655.000000	3.561357	413117	432659333120.000000
281474976710655.000000	3.658937	413118	432660381696.000000
281474976710655.000000	3.830360	413119	432661430272.000000
281474976710655.000000	3.450504	413120	432662446080.000000
281474976710655.000000	4.547052	413121	432663527424.000000
281474976710655.000000	4.815305	413122	432664543232.000000
281474976710655.000000	3.487612	413123	432665624576.000000
281474976710655.000000	4.144826	413124	432666640384.000000
281474976710655.000000	3.606553	413125	432667721728.000000
281474976710655.000000	3.829257	413126	432668737536.000000
281474976710655.000000	3.849216	413127	432669786112.000000
281474976710655.000000	3.510203	413128	432670834688.000000
281474976710655.000000	4.720229	413129	432671883264.000000
281474976710655.000000	4.421422	413130	432672899072.000000
281474976710655.000000	3.952519	413131	432673980416.000000
281474976710655.000000	4.797322	413132	432674996224.000000
281474976710655.000000	3.758907	413133	432676077568.000000
281474976710655.000000	4.398138	413134	432677093376.000000
281474976710655.000000	3.719320	413135	432678174720.000000
281474976710655.000000	4.005317	413136	432679190528.000000
281474976710655.000000	3.843166	413137	432680271872.000000
281474976710655.000000	3.836073	413138	432681287680.000000
281474976710655.000000	4.391371	413139	432682336256.000000
281474976710655.000000	4.327296	413140	432683384832.000000
281474976710655.000000	4.176708	413141	432684433408.000000
281474976710655.000000	4.017296	413142	432685481984.000000
281474976710655.000000	4.403587	413143	432686530560.000000
281474976710655.000000	4.174195	413144	432687546368.000000
281474976710655.000000	4.503208	413145	432688627712.000000
281474976710655.000000	4.592876	413146	432689643520.000000
281474976710655.000000	4.302048	413147	432690724864.000000
281474976710655.000000	4.552979	413148	432691740672.000000
281474976710655.000000	4.392419	413149	432692822016.000000
281474976710655.000000	4.529782	413150	432693837824.000000
281474976710655.000000	4.251091	413151	432694886400.000000
281474976710655.000000	4.768157	413152	432695934976.000000
281474976710655.000000	4.273262	413153	432696983552.000000
281474976710655.000000	4.799805	413154	432698032128.000000
281474976710655.000000	4.438478	413155	432699080704.000000
281474976710655.000000	4.971026	413156	432700096512.000000
281474976710655.000000	4.120369	413157	432701177856.000000
281474976710655.000000	4.760550	413158	432702193664.000000
281474976710655.000000	4.122018	413159	432703275008.000000
281474976710655.000000	4.371034	413160	432704290816.000000
281474976710655.000000	4.542998	413161	432705372160.000000
281474976710655.000000	4.878152	413162	432706387968.000000
281474976710655.000000	4.440917	413163	432707436544.000000
281474976710655.000000	4.451214	413164	432708485120.000000
281474976710655.000000	4.831292	413165	432709533696.000000
281474976710655.000000	4.667053	413166	432710549504.000000
281474976710655.000000	4.929230	413167	432711630848.000000
281474976710655.000000	5.322694	413168	432712646656.000000
281474976710655.000000	4.789744	413169	432713728000.000000
281474976710655.000000	5.289879	413170	432714743808.000000
281474976710655.000000	4.666826	413171	432715825152.000000
281474976710655.000000	5.297121	413172	432716840960.000000
281474976710655.000000	4.307428	413173	432717922304.000000
281474976710655.000000	4.702909	413174	432718938112.000000
281474976710655.000000	4.996082	413175	432719986688.000000
281474976710655.000000	4.747459	413176	432721035264.000000
281474976710655.000000	5.081400	413177	432722083840.000000
281474976710655.000000	5.003505	413178	432723099648.000000
281474976710655.000000	4.963524	413179	432724180992.000000
281474976710655.000000	5.678980	413180	432725196800.000000
281474976710655.000000	4.377238	413181	432726278144.000000
281474976710655.000000	5.026580	413182	432727293952.000000
281474976710655.000000	4.977902	413183	432728375296.000000
281474976710655.000000	5.064620	413184	432729391104.000000
281474976710655.000000	5.235400	413185	432730472448.000000
281474976710655.000000	5.444547	413186	432731488256.000000
281474976710655.000000	4.906614	413187	432732536832.000000
281474976710655.000000	5.363336	413188	432733585408.000000
281474976710655.000000	4.883124	413189	432734633984.000000
281474976710655.000000	4.675119	413190	432735682560.000000
281474976710655.000000	5.545632	413191	432736731136.000000
281474976710655.000000	5.200919	413192	432737746944.000000
281474976710655.000000	5.420296	413193	432738828288.000000
281474976710655.000000	5.970809	413194	432739844096.000000
281474976710655.000000	4.863443	413195	432740925440.000000
281474976710655.000000	5.554423	413196	432741941248.000000
281474976710655.000000	5.024444	413197	432743022592.000000
281474976710655.000000	5.532829	413198	432744038400.000000
281474976710655.000000	5.260982	413199	432745086976.000000
281474976710655.000000	5.054597	413200	432746135552.000000
281474976710655.000000	5.520665	413201	432747184128.000000
281474976710655.000000	5.427118	413202	432748232704.000000
281474976710655.000000	5.277449	413203	432749281280.000000
281474976710655.000000	5.992248	413204	432750297088.000000
281474976710655.000000	5.603942	413205	432751378432.000000
281474976710655.000000	5.864213	413206	432752394240.000000
281474976710655.000000	4.983727	413207	432753475584.000000
