time (s)	coil I (A)	last det (V)	int current (uC)
433876.505363	0.688956	217.187500	42.480469
433876.507366	0.929574	217.187500	42.480469
433876.509366	0.935422	217.187500	42.480469
433876.511364	0.933084	10.263922	0.345897
433877.519895	0.460580	94.628906	-566.503906
433877.521896	0.813955	94.628906	-566.503906
433877.523896	0.938451	94.628906	-566.503906
433877.525895	0.935360	10.288959	0.115871
433878.571945	0.934408	223.437500	46.777344
433878.573947	0.934500	10.279503	0.165442
433879.618009	0.634422	96.484375	-562.988281
433879.622009	0.935501	96.484375	-562.988281
433879.624010	0.932896	96.484375	-562.988281
433879.626012	0.931528	10.246809	0.103521
433880.666626	0.639510	226.367187	47.070312
433880.668628	0.916158	226.367187	47.070312
433880.670627	0.935242	226.367187	47.070312
433880.672628	0.932754	10.260298	0.184114
433881.683156	0.770357	118.457031	-525.683594
433881.685158	0.936842	118.457031	-525.683594
433881.687159	0.934308	10.277393	0.173101
433882.765206	0.868124	226.367187	46.093750
433882.767208	0.935724	226.367187	46.093750
433882.769208	0.932670	10.259367	0.143987
433883.780175	0.744787	122.070312	-523.242187
433883.782177	0.936634	122.070312	-523.242187
433883.784177	0.935310	10.288408	0.598961
433884.864231	0.936063	225.683594	44.726562
433884.868233	0.931240	225.683594	44.726562
433884.870232	0.930309	10.233401	0.134267
433885.876262	0.555878	107.910156	-548.828125
433885.878263	0.879100	107.910156	-548.828125
433885.880263	0.936079	107.910156	-548.828125
433885.882264	0.933163	10.264791	0.145793
433886.958316	0.682339	221.191406	41.210937
433886.960318	0.927536	221.191406	41.210937
433886.962318	0.928977	221.191406	41.210937
433886.964318	0.932297	10.255264	0.119614
433887.972384	0.366638	100.097656	-563.769531
433887.974388	0.729712	100.097656	-563.769531
433887.976386	0.934719	100.097656	-563.769531
433887.978386	0.934439	10.278829	0.135034
433889.056434	0.842586	220.605469	40.527344
433889.058436	0.938256	220.605469	40.527344
433889.060436	0.935266	10.287930	0.104136
433890.072940	0.910189	87.792969	-587.695312
433890.074940	0.935236	87.792969	-587.695312
433890.076941	0.935159	10.286752	0.112401
433891.118970	0.521132	228.027344	41.894531
433891.120970	0.857960	228.027344	41.894531
433891.122972	0.862735	228.027344	41.894531
433891.124973	0.933680	10.270481	0.183402
433892.171017	0.936782	99.218750	-564.160156
433892.173020	0.933902	99.218750	-564.160156
433892.175019	0.931871	10.250585	0.102887
433893.215973	0.495435	228.027344	39.843750
433893.217975	0.840465	228.027344	39.843750
433893.219975	0.937589	228.027344	39.843750
433893.221975	0.937430	10.311726	0.157941
433894.264047	0.403817	84.960937	-591.699219
433894.266052	0.764382	84.960937	-591.699219
433894.268051	0.936833	84.960937	-591.699219
433894.270052	0.934561	10.280168	0.103451
433895.314131	0.677640	229.296875	39.843750
433895.316134	0.926668	229.296875	39.843750
433895.318133	0.934893	229.296875	39.843750
433895.320133	0.932535	10.257887	0.145639
433896.328756	0.462737	116.503906	-535.253906
433896.330757	0.815230	116.503906	-535.253906
433896.332757	0.937770	116.503906	-535.253906
433896.334756	0.934780	10.282578	0.163198
433897.410821	0.592431	224.609375	38.378906
433897.412822	0.897814	224.609375	38.378906
433897.414822	0.935485	224.609375	38.378906
433897.416822	0.932800	10.260803	0.132479
433898.426849	0.632904	111.035156	-547.265625
433898.428851	0.914083	111.035156	-547.265625
433898.430851	0.935576	111.035156	-547.265625
433898.432852	0.933044	10.263479	0.154488
433899.506901	0.398234	221.679687	38.378906
433899.508901	0.759223	221.679687	38.378906
433899.510901	0.936711	221.679687	38.378906
433899.512901	0.934670	10.281372	0.127045
433900.522925	0.439026	103.906250	-563.085937
433900.524928	0.472705	103.906250	-563.085937
433900.526924	0.938131	103.906250	-563.085937
433900.528926	0.935181	10.286991	0.139195
433901.609013	0.935088	220.019531	38.281250
433901.611016	0.932360	220.019531	38.281250
433901.613016	0.930891	10.239799	0.113243
433902.623583	0.932044	99.218750	-580.859375
433902.625583	0.934180	99.218750	-580.859375
433902.627583	0.931931	10.251241	0.129489
433903.701627	0.476811	217.382812	39.062500
433903.703628	0.826462	217.382812	39.062500
433903.705627	0.937785	217.382812	39.062500
433903.709626	0.934667	10.281337	0.105088
433904.717708	0.524876	96.386719	-591.308594
433904.719710	0.859883	96.386719	-591.308594
433904.721711	0.935014	96.386719	-591.308594
433904.723710	0.932006	10.252065	0.114119
433905.765792	0.437337	226.562500	45.507812
433905.767794	0.794036	226.562500	45.507812
433905.769794	0.937715	226.562500	45.507812
433905.771794	0.934826	10.283092	0.159600
433906.815850	0.703118	104.882812	-575.878906
433906.817849	0.931221	104.882812	-575.878906
433906.819850	0.934350	104.882812	-575.878906
433906.821851	0.932008	10.252090	0.396074
433907.865905	0.905362	229.589844	45.605469
433907.867905	0.935909	229.589844	45.605469
433907.869905	0.933310	10.266413	0.158671
433908.912911	0.687505	95.312500	-593.750000
433908.914914	0.928367	95.312500	-593.750000
433908.916918	0.934223	95.312500	-593.750000
433908.920919	0.930730	10.238027	0.315380
433909.961473	0.686071	226.367187	43.554687
433909.963473	0.927867	226.367187	43.554687
433909.965475	0.934093	226.367187	43.554687
433909.967474	0.931759	10.249353	0.351397
433910.976416	0.530809	119.433594	-546.484375
433910.978417	0.863656	119.433594	-546.484375
433910.980417	0.935256	119.433594	-546.484375
433910.982419	0.932244	10.254688	0.153961
433912.058479	0.660693	225.390625	42.285156
433912.060482	0.922123	225.390625	42.285156
433912.062483	0.934547	225.390625	42.285156
433912.064483	0.932160	10.253757	0.128591
433913.075059	0.794784	115.332031	-555.078125
433913.077061	0.936632	115.332031	-555.078125
433913.079063	0.933662	10.270286	0.139651
433914.155691	0.669119	222.070312	40.429687
433914.157694	0.924238	222.070312	40.429687
433914.159692	0.934400	222.070312	40.429687
433914.161693	0.931980	10.251781	0.267295
433915.170216	0.439677	113.085937	-559.375000
433915.172216	0.452563	113.085937	-559.375000
433915.174217	0.937060	113.085937	-559.375000
433915.176217	0.934051	10.274557	0.126992
433916.251143	0.362052	216.015625	37.890625
433916.253150	0.725103	216.015625	37.890625
433916.255148	0.935240	216.015625	37.890625
433916.257149	0.935639	10.292025	0.108748
433917.267177	0.403581	105.371094	-573.730469
433917.269175	0.764198	105.371094	-573.730469
433917.271174	0.937381	105.371094	-573.730469
433917.273175	0.935146	10.286601	0.114260
433918.315774	0.407947	229.394531	43.164062
433918.317776	0.768089	229.394531	43.164062
433918.319775	0.936611	229.394531	43.164062
433918.321777	0.934224	10.276463	0.177054
433919.363801	0.305621	102.441406	-581.152344
433919.365801	0.671513	102.441406	-581.152344
433919.367802	0.924864	102.441406	-581.152344
433919.371802	0.932091	102.441406	-581.152344
433919.373804	0.930766	10.238426	0.100914
433920.414334	0.662351	225.000000	41.015625
433920.416336	0.922233	225.000000	41.015625
433920.418337	0.934122	225.000000	41.015625
433920.422335	0.930429	10.234721	0.159290
433921.462393	0.568746	97.167969	-592.773437
433921.464395	0.885886	97.167969	-592.773437
433921.466396	0.935501	97.167969	-592.773437
433921.468395	0.932726	10.259988	0.095018
433922.512964	0.884378	225.390625	39.843750
433922.514967	0.934847	225.390625	39.843750
433922.516965	0.931981	10.251790	0.149724
433923.527057	0.618230	110.839844	-569.042969
433923.529056	0.908024	110.839844	-569.042969
433923.531058	0.934446	110.839844	-569.042969
433923.533057	0.931945	10.251400	0.166377
433924.607144	0.389901	227.148437	40.820312
433924.609147	0.751412	227.148437	40.820312
433924.611146	0.936337	227.148437	40.820312
433924.613148	0.934627	10.280893	0.134378
433925.624156	0.607376	126.757812	-542.968750
433925.626158	0.903965	126.757812	-542.968750
433925.628158	0.934885	126.757812	-542.968750
433925.630160	0.934777	10.282542	0.146168
433926.706192	0.732154	218.847656	36.230469
433926.708192	0.933989	218.847656	36.230469
433926.710193	0.933242	10.265659	0.117163
433927.722284	0.782481	103.515625	-587.792969
433927.724285	0.935925	103.515625	-587.792969
433927.726287	0.932911	10.262017	0.130439
433928.802330	0.549731	219.628906	35.644531
433928.804332	0.875150	219.628906	35.644531
433928.806332	0.935232	219.628906	35.644531
433928.808331	0.932235	10.254581	0.108804
433929.818373	0.592704	105.468750	-583.886719
433929.820375	0.897482	105.468750	-583.886719
433929.822375	0.934872	105.468750	-583.886719
433929.824375	0.932247	10.254714	0.121804
433930.866441	0.502046	237.500000	41.601562
433930.870443	0.935201	237.500000	41.601562
433930.872444	0.931985	237.500000	41.601562
433930.874444	0.930442	10.234863	0.173589
433931.917400	0.886832	104.687500	-583.203125
433931.919403	0.935030	104.687500	-583.203125
