time (s)	det(V)
434252.989920	0.294163	
434252.991920	0.290114	
434252.993921	0.285147	
434252.995920	0.278512	
434252.999920	0.273907	
434253.001919	0.263946	
434253.003926	0.259223	
434253.019863	0.216157	
434253.021864	0.217550	
434253.025864	0.206648	
434253.027866	0.206360	
434253.029864	0.199640	
434253.031863	0.211315	
434253.033865	0.195157	
434253.035864	0.192211	
434253.039867	0.186071	
434253.043867	0.177762	
434253.045866	0.183170	
434253.047867	0.177365	
434253.049866	0.170036	
434253.051865	0.163586	
434253.055865	0.157192	
434253.057867	0.150463	
434253.059865	0.146561	
434253.063867	0.142515	
434253.065866	0.131306	
434253.067867	0.129496	
434253.069867	0.127864	
434253.071866	0.126369	
434253.073867	0.124443	
434253.077865	0.121509	
434253.079867	0.117958	
434253.081872	0.117521	
434253.083871	0.118106	
434253.085870	0.116153	
434253.087871	0.114403	
434253.089871	0.111850	
434253.091870	0.110248	
434253.093870	0.109103	
434253.095869	0.105338	
434253.099870	0.103129	
434253.101871	0.099247	
434253.103870	0.094803	
434253.105869	0.094011	
434253.107870	0.093383	
434253.109870	0.094432	
434253.111871	0.088523	
434253.113870	0.088595	
434253.115870	0.090781	
434253.117873	0.084536	
434253.121878	0.082090	
434253.123878	0.081491	
434253.125878	0.078313	
434253.127879	0.077390	
434253.129878	0.075243	
434253.131879	0.071459	
434253.135876	0.069979	
434253.137879	0.064199	
434253.139877	0.061201	
434253.143878	0.059818	
434253.145878	0.055906	
434253.147879	0.054672	
434253.149879	0.052997	
434253.151879	0.050495	
434253.155877	0.048959	
434253.157877	0.045089	
434253.161879	0.043376	
434253.163878	0.040697	
434253.165879	0.039446	
434253.167883	0.036933	
434253.169880	0.035919	
434253.173879	0.034748	
434253.175880	0.030020	
434253.177880	0.029053	
434253.181880	0.027537	
434253.183879	0.026727	
434253.185881	0.025502	
434253.187880	0.025187	
434253.189880	0.023625	
434253.191881	0.022593	
434253.195881	0.021482	
434253.197880	0.020478	
434253.199881	0.019959	
434253.201879	0.018999	
434253.203881	0.018963	
434253.205881	0.018788	
434253.207881	0.018227	
434253.209881	0.017793	
434253.211880	0.016204	
434253.215885	0.015116	
434253.219887	0.015962	
434253.221887	0.015102	
434253.223887	0.014557	
434253.225886	0.015316	
434253.227887	0.015331	
434253.231884	0.014306	
434253.233887	0.012633	
434253.235886	0.012130	
434253.239886	0.011895	
434253.241886	0.010882	
434253.243889	0.010976	
434253.245886	0.010019	
434253.247887	0.010094	
434253.249885	0.008447	
434253.251888	0.007231	
434253.255886	0.006156	
434253.257886	0.004733	
434253.259885	0.005606	
434253.261887	0.004930	
434253.263886	0.003669	
434253.265885	0.003029	
434253.267885	0.001384	
434253.269886	0.000194	
434253.271884	-0.001428	
434253.273885	-0.002589	
434253.277891	-0.003343	
434253.279892	-0.005781	
434253.281893	-0.005567	
434253.283891	-0.007122	
434253.285892	-0.008549	
434253.287890	-0.009153	
434253.291891	-0.010357	
434253.293892	-0.013144	
434253.295891	-0.014537	
434253.299890	-0.015411	
434253.301892	-0.016385	
434253.303891	-0.017434	
434253.305891	-0.019517	
434253.307892	-0.018967	
434253.309892	-0.020175	
434253.313891	-0.021597	
434253.317891	-0.022777	
434253.319891	-0.023304	
434253.321891	-0.024020	
434253.323891	-0.025229	
434253.325892	-0.025133	
434253.329889	-0.026166	
434253.331891	-0.028024	
434253.333891	-0.028690	
434253.337890	-0.030152	
434253.339893	-0.029830	
434253.341892	-0.030776	
434253.343890	-0.031429	
434253.345892	-0.032366	
434253.347891	-0.032588	
434253.351894	-0.034366	
434253.355897	-0.036062	
434253.357898	-0.036811	
434253.359898	-0.037408	
434253.361898	-0.038706	
434253.363898	-0.039531	
434253.367897	-0.040410	
434253.369897	-0.043307	
434253.371897	-0.044699	
434253.375896	-0.046170	
434253.377897	-0.047566	
434253.379898	-0.049108	
434253.381898	-0.050729	
434253.383897	-0.052728	
434253.385897	-0.054816	
434253.387898	-0.057395	
434253.391904	-0.059511	
434253.393904	-0.063103	
434253.395904	-0.064997	
434253.397904	-0.066985	
434253.399904	-0.069376	
434253.401904	-0.071843	
434253.403905	-0.074142	
434253.405903	-0.076600	
434253.407903	-0.079529	
434253.411903	-0.082182	
434253.413904	-0.087014	
434253.415903	-0.089495	
434253.417904	-0.091535	
434253.419904	-0.093907	
434253.421904	-0.096685	
434253.423904	-0.100007	
434253.425902	-0.102857	
434253.427903	-0.105680	
434253.429905	-0.108330	
434253.433903	-0.110324	
434253.435904	-0.115617	
434253.437904	-0.117606	
434253.439903	-0.119725	
434253.441904	-0.121973	
434253.443903	-0.124619	
434253.445904	-0.127261	
434253.447904	-0.130198	
434253.451905	-0.132496	
434253.453904	-0.136713	
434253.455909	-0.139866	
434253.457905	-0.141224	
434253.459910	-0.143214	
434253.461910	-0.145430	
434253.463909	-0.147644	
434253.465910	-0.149071	
434253.467910	-0.151644	
434253.471917	-0.156068	
434253.475917	-0.160450	
434253.477918	-0.163633	
434253.479918	-0.166685	
434253.483916	-0.172563	
434253.487916	-0.175548	
434253.489918	-0.183057	
434253.491917	-0.186037	
434253.495918	-0.189012	
434253.497917	-0.195908	
434253.499918	-0.200278	
434253.501917	-0.204349	
434253.503917	-0.208106	
434253.505915	-0.211305	
434253.507919	-0.217523	
434253.511926	-0.222271	
434253.513926	-0.231789	
434253.515926	-0.236258	
434253.517925	-0.241026	
434253.519925	-0.246483	
434253.521925	-0.251865	
434253.523925	-0.257252	
434253.525925	-0.261354	
434253.527925	-0.268459	
434253.531932	-0.274144	
434253.533933	-0.284602	
434253.535934	-0.288874	
434253.537934	-0.294222	
434253.539934	-0.298915	
434253.541933	-0.304161	
434253.543934	-0.308672	
434253.547931	-0.312220	
434253.551931	-0.323945	
434253.553932	-0.330766	
434253.555937	-0.333147	
434253.557939	-0.337290	
434253.559938	-0.339483	
434253.561939	-0.342056	
434253.565935	-0.344597	
434253.567939	-0.349723	
434253.569937	-0.349503	
434253.573938	-0.351747	
434253.575938	-0.352794	
434253.577938	-0.353645	
434253.579937	-0.354338	
434253.581937	-0.354451	
434253.583938	-0.354742	
434253.585938	-0.354799	
434253.589942	-0.353373	
434253.591941	-0.351566	
434253.593942	-0.349569	
434253.595942	-0.347748	
434253.597942	-0.346322	
434253.599942	-0.344219	
434253.601942	-0.342817	
434253.603941	-0.340815	
434253.605942	-0.339968	
434253.609941	-0.338720	
434253.611941	-0.334086	
434253.613941	-0.332878	
434253.615941	-0.330661	
434253.617943	-0.329556	
434253.619944	-0.328447	
434253.621942	-0.326737	
434253.623941	-0.325107	
434253.625941	-0.325068	
434253.629942	-0.324884	
434253.631942	-0.323077	
434253.633941	-0.322424	
434253.635942	-0.320764	
434253.637942	-0.319756	
434253.639942	-0.319574	
434253.641940	-0.319396	
434253.645939	-0.318889	
