num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3085	4523.340689	36.635751	13.982132	1.436908	2.580840
3087	4525.427667	36.908713	13.479565	1.432209	3.303654
3089	4527.526143	37.070856	13.330451	1.434179	3.138730
3091	4529.613825	36.441281	17.159899	1.366631	2.843796
3093	4531.710222	37.031697	12.981406	1.438889	3.304147
3095	4533.804074	39.541514	14.212443	1.443416	2.627360
3097	4535.897341	37.226579	12.813938	1.443889	3.105835
3099	4537.993503	39.950327	14.065781	1.451178	2.812101
3101	4540.084210	39.832952	13.872478	1.457422	3.197533
3103	4542.180673	37.483113	12.413732	1.451338	2.970647
3105	4544.270375	40.398049	13.722756	1.459594	2.973579
3107	4546.364518	37.827048	12.333029	1.458919	3.110542
3109	4548.456461	39.343430	12.196446	1.430724	2.701656
3111	4550.547576	37.100498	16.132792	1.414248	3.145905
3113	4552.640357	40.399515	13.266520	1.463960	2.938450
3115	4554.731961	40.593311	13.271502	1.464455	3.293428
3117	4556.827486	37.962127	11.845982	1.469893	3.066995
3119	4558.919487	38.094493	11.785685	1.470961	2.959957
3121	4561.015530	40.023298	11.518601	1.439624	2.839822
3123	4563.109606	37.644078	16.425289	1.403856	2.997008
3125	4565.205619	38.293769	11.569012	1.476095	3.008544
3127	4567.299283	41.050069	12.539387	1.482234	3.198102
3129	4569.396788	40.448040	11.389695	1.454938	3.191786
3131	4571.489292	38.292682	15.112194	1.431820	3.281767
3133	4573.584271	40.543789	11.318102	1.460489	3.188661
3135	4575.676344	38.538182	14.688232	1.442013	3.166948
3137	4577.769633	41.490306	12.288074	1.488279	3.294074
3139	4579.861966	38.845090	10.891448	1.487234	3.208752
3141	4581.953941	41.572373	12.207909	1.491405	3.557517
3143	4584.046157	41.125525	11.046755	1.472304	3.220447
3145	4586.136957	39.001522	14.493227	1.445049	3.364208
3147	4588.227995	41.116372	10.789876	1.469511	3.269410
3149	4590.318175	38.737397	14.772781	1.445854	3.260103
3151	4592.407207	42.161890	11.907890	1.494282	3.192683
3153	4594.496539	41.177264	10.390985	1.470399	3.162840
3155	4596.586697	39.326830	11.038865	1.508900	3.332499
3157	4598.677362	39.585780	10.578820	1.499847	3.348576
3159	4600.769089	39.565580	11.026610	1.489841	3.123204
3161	4602.859739	38.957367	14.845856	1.451570	3.208679
3163	4604.953509	39.688881	10.386279	1.504761	3.190290
3165	4607.045919	39.273030	14.560399	1.456610	3.266767
3167	4609.138567	42.725826	11.285973	1.505854	3.162489
3169	4611.232169	39.750952	9.832746	1.510669	3.134022
3171	4613.323689	39.801788	9.763143	1.512415	3.238419
3173	4615.416095	42.588517	11.140437	1.514380	3.256085
3175	4617.508970	42.618814	11.065044	1.515963	3.386493
3177	4619.601011	42.669608	11.103308	1.511240	3.332610
3179	4621.692251	40.074344	9.465038	1.519110	3.185629
3181	4623.784236	41.167912	9.626640	1.491836	3.441383
3183	4625.876385	40.101002	10.024561	1.530462	3.328693
3185	4627.967535	41.511252	9.440688	1.490982	3.515838
3187	4630.061065	40.108344	9.898410	1.535396	3.320889
3189	4632.154708	43.060008	10.495374	1.524399	3.221205
3191	4634.248456	43.125715	10.465464	1.521356	3.372430
3193	4636.341868	43.022891	10.450798	1.523497	3.313070
3195	4638.436763	43.183308	10.211817	1.531146	3.309175
3197	4640.532830	40.472592	9.256042	1.528601	3.402559
3199	4642.626010	40.386632	9.486699	1.538678	3.542498
3201	4644.719540	43.433049	10.077012	1.527833	3.507385
3203	4646.813052	40.684030	9.077738	1.532731	3.584818
3205	4648.905238	40.567814	12.398226	1.502223	3.562319
