time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3812.860507	30.382448	0.012115	2.507746	103
3813.894076	18.856674	0.012122	1.555527	104
3814.951954	33.240253	0.012141	2.737773	105
3815.987611	19.675266	0.012141	1.620574	106
3817.046496	29.554119	0.012117	2.439094	107
3818.086745	20.661585	0.012114	1.705666	108
3819.134029	30.890463	0.012124	2.547794	109
3820.178613	20.816193	0.012164	1.711349	110
3821.232170	27.692080	0.012116	2.285519	111
3822.274259	19.484192	0.012122	1.607381	112
3823.320747	28.781137	0.012112	2.376332	113
3824.369320	21.045389	0.012119	1.736501	114
3825.417475	26.384062	0.012138	2.173642	115
3826.453608	20.988604	0.012140	1.728852	116
3827.521442	26.296045	0.012088	2.175369	117
3828.542815	21.721706	0.012132	1.790386	118
3829.618359	25.263470	0.012137	2.081509	119
3830.634964	18.727497	0.012117	1.545589	120
3831.711931	26.137465	0.012113	2.157721	121
3832.724256	18.643576	0.012144	1.535168	122
3833.804034	26.200443	0.012107	2.164052	123
3834.826538	16.966797	0.012107	1.401386	124
3835.886412	27.565186	0.012132	2.272044	125
3836.930159	14.527070	0.012125	1.198083	126
3837.974681	28.094738	0.012119	2.318194	127
3839.020629	16.778828	0.012111	1.385411	128
3840.069998	23.801447	0.012107	1.965899	129
3841.113896	18.962776	0.012167	1.558554	130
3842.163642	22.601149	0.012110	1.866273	131
3843.207476	18.020401	0.012131	1.485438	132
3844.258580	25.269274	0.012106	2.087394	133
3845.294605	16.904049	0.012104	1.396560	134
3846.356177	23.442125	0.012134	1.931983	135
3847.386982	18.371799	0.012113	1.516748	136
3848.448358	23.853720	0.012137	1.965451	137
3849.476003	17.049112	0.012105	1.408454	138
3850.543980	22.880602	0.012118	1.888220	139
3851.567523	18.146242	0.012102	1.499390	140
3852.639587	20.152311	0.012104	1.664949	141
3853.664068	15.338592	0.012104	1.267215	142
3854.728760	22.746727	0.012086	1.882019	143
3855.757952	16.811769	0.012120	1.387077	144
3856.822310	19.961889	0.012085	1.651809	145
3857.855194	15.718552	0.012133	1.295496	146
3858.910737	21.603331	0.012124	1.781837	147
3859.950808	13.934043	0.012123	1.149372	148
3860.999421	21.810740	0.012111	1.800974	149
3862.045072	15.126988	0.012104	1.249709	150
3863.092163	23.114691	0.012111	1.908559	151
